Timestamp | Action
2023-10-04 00:41:16.008690+00:00 | Time In
2023-10-04 00:41:16.008690+00:00 | Time Out
2023-10-04 00:41:16.008690+00:00 | Time In
2023-10-04 00:41:16.008690+00:00 | Time Out
2023-10-04 00:41:16.008690+00:00 | Time In
2023-10-04 00:41:16.008690+00:00 | Time Out
2023-10-04 00:41:16.008690+00:00 | Time Out
2023-10-04 00:41:16.008690+00:00 | Time In
2023-10-04 00:41:16.008690+00:00 | Time In
2023-10-04 00:41:16.008690+00:00 | Time Out
2023-10-04 00:41:16.008690+00:00 | Time In
2023-10-04 00:41:16.008690+00:00 | Time Out
2023-10-04 00:41:16.008690+00:00 | Time In
2023-10-04 00:41:16.008690+00:00 | Time Out
