Timestamp | Action
2023-10-07 14:25:28.608125+08:00 | Time Out
2023-10-07 14:25:28.191909+08:00 | Time In
2023-10-05 13:43:42.736454+08:00 | Time In
2023-10-05 13:43:41.825439+08:00 | Time Out
2023-10-05 13:43:40.894525+08:00 | Time Out
2023-10-05 13:43:39.207422+08:00 | Time In
2023-10-04 19:34:49.159615+08:00 | Time Out
2023-10-04 19:34:48.468151+08:00 | Time In
2023-10-04 19:34:44.105086+08:00 | Time Out
2023-10-04 19:34:42.617021+08:00 | Time In
2023-10-04 09:47:39.857458+08:00 | Time Out
2023-10-04 09:47:39.452177+08:00 | Time In
2023-10-04 09:47:38.878677+08:00 | Time Out
2023-10-04 09:47:38.334604+08:00 | Time In
